n,basicOps,actualTimes,c,cGolden,estimatedCNlgN,estimatedTimeLgN,estimatedTimeN,estimatedTimeNSq,estimated1.6^n,estimated2^n
5,7,2.6500027161091566e-05,1.8716398864688182e-06,1.4345432160918618e-105,1.591970888368532e-06,0.00034804208162619285,1.3101479205281727e-05,3.571101657316996e-08,1.0041802512643033e-104,3.5221283011067166e-153
10,23,1.3042008504271507e-05,1.8716398864688182e-06,1.4345432160918618e-105,5.230761490353748e-06,0.0011435668396289193,4.304771738878282e-05,1.1733619731184415e-07,3.299449397011282e-104,1.1572707275064926e-152
15,44,1.8167018424719572e-05,1.8716398864688182e-06,1.4345432160918618e-105,1.0006674155459344e-05,0.002187693084507498,8.2352155004628e-05,2.2446924703135403e-07,6.311990150804191e-104,2.2139092178385076e-152
100,550,0.00016129203140735626,1.8716398864688182e-06,1.4345432160918618e-105,0.0001250834269432418,0.027346163556343724,0.00102940193755785,2.805865587891925e-06,7.88998768850524e-103,2.7673865222981344e-151
250,1685,0.00043949997052550316,1.8716398864688182e-06,1.4345432160918618e-105,0.0003832101352715681,0.08377870107716213,0.0031537132086999586,8.596151846541626e-06,2.4172053191147874e-102,8.478265981949739e-151
500,3859,0.000988542044069618,1.8716398864688182e-06,1.4345432160918618e-105,0.0008776308083163093,0.1918706275707826,0.007222658321883169,1.9686973279408982e-05,5.5359022708984945e-102,1.9416990162815456e-150
