n,basicOps,actualTimes,c,cGolden,estimatedCNlgN,estimatedTimeLgN,estimatedTimeN,estimatedTimeNSq,estimated1.6^n,estimated2^n
5,6,9.500014130026102e-06,1.2271317245904357e-06,9.405513867753557e-106,8.946583593189483e-07,0.00019559324859309786,7.362790347542614e-06,2.0068934507782254e-08,5.643308320652134e-105,1.9793713253188004e-153
10,20,7.916998583823442e-06,1.2271317245904357e-06,9.405513867753557e-106,2.982194531063161e-06,0.0006519774953103263,2.4542634491808712e-05,6.689644835927418e-08,1.8811027735507115e-104,6.597904417729335e-153
15,42,1.0666961316019297e-05,1.2271317245904357e-06,9.405513867753557e-106,6.262608515232638e-06,0.0013691527401516852,5.15395324327983e-05,1.4048254155447577e-07,3.9503158244564936e-104,1.3855599277231603e-152
100,622,9.358295938000083e-05,1.2271317245904357e-06,9.405513867753557e-106,9.27462499160643e-05,0.020276500104151145,0.000763275932695251,2.080479543973427e-06,5.850229625742713e-103,2.051948273913823e-151
250,1910,0.000278000021353364,1.2271317245904357e-06,9.405513867753557e-106,0.00028479957771653186,0.06226385080213616,0.002343821593967732,6.388610818310684e-06,1.7964531487409293e-102,6.300998718931515e-151
500,4433,0.0006802089628763497,1.2271317245904357e-06,9.405513867753557e-106,0.0006610034178101496,0.1445108118355338,0.005439874935109401,1.482759777883312e-05,4.169464297575152e-102,1.462425514189707e-150
