n,c,cGolden,estimatedCNlgN,estimatedTimeLgN,estimatedTimeN,estimatedTimeNSq,estimated1.6^n,estimated2^n
10,1.8287301848664187e-06,1.3697987219211164e-105,5.262868154238405e-06,0.001403297611498931,4.388952443679405e-05,1.1700245200137286e-07,3.2875169326106793e-104,1.1530854559365331e-152
100,1.8287301848664187e-06,1.3697987219211164e-105,0.000119949536682017,0.031983491395413136,0.001000315411121931,2.6666808851979565e-06,7.492799008908507e-103,2.6280739349886818e-151
250,1.8287301848664187e-06,1.3697987219211164e-105,0.00036708505375812877,0.09788000840205044,0.003061294329466385,8.160921027095756e-06,2.2930430604959488e-102,8.042771055157319e-151
500,1.8287301848664187e-06,1.3697987219211164e-105,0.0008427167631974247,0.22470303004126635,0.007027810100441647,1.873501762671983e-05,5.26413648834285e-102,1.8463780863183737e-150
n,basicOps
10,24
100,547
250,1674
500,3843
n,actualTimes
10,3.0166993383318186e-05
100,0.00015537498984485865
250,0.00042820797534659505
500,0.0009589580004103482
