n,c,cGolden,estimatedCNlgN,estimatedTimeLgN,estimatedTimeN,estimatedTimeNSq,estimated1.6^n,estimated2^n
10,2.1579459331236605e-05,1.6163956857219928e-104,0.0001164433491609614,0.031048597259826217,0.0009710756699056472,2.588732412023734e-06,7.273780585748968e-103,2.5512539631058705e-151
100,2.1579459331236605e-05,1.6163956857219928e-104,0.012808768407705754,3.4153456985808837,0.1068183236896212,0.0002847605653226108,8.001158644323864e-101,2.8063793594164576e-149
250,2.1579459331236605e-05,1.6163956857219928e-104,0.08053998316966497,21.4752797713798,0.6716606716847393,0.0017905399183164162,5.031031571809703e-100,1.7646173244815605e-148
500,2.1579459331236605e-05,1.6163956857219928e-104,0.3228068401739986,86.07361129251824,2.6920375515717665,0.0071765415199991295,2.016453617938186e-99,7.072642931054608e-148
n,basicOps
10,45
100,4950
250,31125
500,124750
n,actualTimes
10,1.9666971638798714e-05
100,0.0006612090510316193
250,0.0038170000188983977
500,0.014060458983294666
